FIPS,Area Name-Legal/Statistical Area Description,Qualifying Name,State/U.S.-Abbreviation (USPS),Region,Division,State (FIPS),Place (FIPS),FIPS Place Class Code,Place Size Code,Area (Land),Area (Water),Population Count (100%),Housing Unit Count (100%),Internal Point (Latitude),Internal Point (Longitude),Total Population,Total Population,Urban,Urban: Inside urbanized areas,Urban: Inside urban clusters,Rural,% Urban,% Urban: Inside urbanized areas,% Urban: Inside urban clusters,% Rural,Total Population,Population Density (per sq. mile),Area Total,Area (Land),Area (Water),Total Population,Male,Female,% Male,% Female,Median Age,Median Age: Male Population,Median Age: Female Population,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some other race Alone,% White Alone,% Black or African American Alone,% American Indian and Alaska Native Alone,% Asian Alone,% Native Hawaiian and Other Pacific Islander Alone,% Some other race Alone,Employed Civilian Population 16 Years And Over,Per capita income In 1999 Dollars,Employed civilian population 16 years and over
Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_PLACE,Geo_PLACECC,Geo_PLACESC,Geo_AREALAND,Geo_AREAWATR,Geo_POP100,Geo_HU100,Geo_INTPTLAT,Geo_INTPTLON,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T002_004,SE_T002_005,PCT_SE_T002_002,PCT_SE_T002_003,PCT_SE_T002_004,PCT_SE_T002_005,SE_T003_002,SE_T003_001,SE_T004_001,SE_T004_002,SE_T004_003,SE_T005_001,SE_T005_002,SE_T005_003,PCT_SE_T005_002,PCT_SE_T005_003,SE_T013_001,SE_T013_002,SE_T013_003,SE_T014_002,SE_T014_003,SE_T014_004,SE_T014_005,SE_T014_006,SE_T014_007,PCT_SE_T014_002,PCT_SE_T014_003,PCT_SE_T014_004,PCT_SE_T014_005,PCT_SE_T014_006,PCT_SE_T014_007,SE_T085_001,SE_T145_001,SE_T209_001
286380,Wrangell city,"Wrangell city, Alaska",AK,4,9,2,86380,C1,11,117269573,66216171,2308,1092,56456383,-132377755,2308,2308,0,0,0,2308,0,0,0,100,2308,50.97394,70.84425,45.27804,25.56621,2308,1188,1120,51.47,48.53,39.1,38.9,39.3,1696,3,358,15,3,8,73.48,0.13,15.51,0.65,0.13,0.35,1079,21851,1079
286470,Y CDP,"Y CDP, Alaska",AK,4,9,2,86470,U2,8,863542540,8049668,956,818,62036803,-149987154,956,956,0,0,0,956,0,0,0,100,956,2.867292,336.5237,333.4156,3.107994,956,516,440,53.97,46.03,40.8,41.5,40,821,6,63,6,0,8,85.88,0.63,6.59,0.63,0,0.84,253,15437,253
286490,Yakutat CDP,"Yakutat CDP, Alaska",AK,4,9,2,86490,U9,8,257554847,9499647,680,385,59545012,-139700175,680,680,0,0,0,680,0,0,0,100,680,6.838123,103.1103,99.44249,3.667834,680,367,313,53.97,46.03,35.2,36.4,33.4,282,1,320,10,6,0,41.47,0.15,47.06,1.47,0.88,0,336,21330,336
400870,Ajo CDP,"Ajo CDP, Arizona",AZ,4,8,4,870,U1,12,72708150,0,3705,2485,32381348,-112869407,3705,3705,3221,0,3221,484,86.94,0,86.94,13.06,3705,131.9784,28.07277,28.07277,0,3705,1758,1947,47.45,52.55,51.6,51.3,51.9,2916,9,255,11,3,339,78.7,0.24,6.88,0.3,0.08,9.15,976,14548,976
401090,Ak-Chin Village CDP,"Ak-Chin Village CDP, Arizona",AZ,4,8,4,1090,U1,8,27157501,0,669,212,33029871,-112062105,669,669,0,0,0,669,0,0,0,100,669,63.80197,10.48557,10.48557,0,669,305,364,45.59,54.41,24.1,24.5,23.8,27,2,613,0,0,22,4.04,0.3,91.63,0,0,3.29,200,8389,200
401990,Amado CDP,"Amado CDP, Arizona",AZ,4,8,4,1990,U1,6,29076437,0,275,107,31704900,-111065492,275,275,0,0,0,275,0,0,0,100,275,24.49567,11.22647,11.22647,0,275,133,142,48.36,51.64,36.8,35.8,37.3,195,1,3,2,0,72,70.91,0.36,1.09,0.73,0,26.18,127,21452,127
503430,Banks town,"Banks town, Arkansas",AR,3,7,5,3430,C1,4,997632,0,120,63,33576764,-92268129,120,120,0,0,0,120,0,0,0,100,120,311.5363,0.3851879,0.3851879,0,120,65,55,54.17,45.83,41.3,33.5,44.8,87,24,0,0,0,5,72.5,20,0,0,0,4.17,58,10416,58
503640,Barling city,"Barling city, Arkansas",AR,3,7,5,3640,C1,12,56817217,335878,4176,1697,35322728,-94300663,4176,4176,4146,4146,0,30,99.28,99.28,0,0.72,4176,190.3611,22.06693,21.93725,0.1296832,4176,1942,2234,46.5,53.5,35.5,34.3,36.6,3635,58,78,213,1,85,87.05,1.39,1.87,5.1,0.02,2.04,1930,16485,1930
503940,Bassett town,"Bassett town, Arkansas",AR,3,7,5,3940,C1,4,623653,0,168,76,35535942,-90126052,168,168,0,0,0,168,0,0,0,100,168,697.6924,0.2407938,0.2407938,0,168,79,89,47.02,52.98,40,41.6,37.5,166,0,0,0,0,0,98.81,0,0,0,0,0,59,13464,59
504030,Batesville city,"Batesville city, Arkansas",AR,3,7,5,4030,C1,13,26960590,576249,9445,4146,35773488,-91641338,9445,9445,8539,0,8539,906,90.41,0,90.41,9.59,9445,907.3406,10.63203,10.40954,0.222491,9445,4421,5024,46.81,53.19,38.4,35.5,40.9,8635,439,27,110,7,132,91.42,4.65,0.29,1.16,0.07,1.4,4179,17753,4179
504090,Bauxite town,"Bauxite town, Arkansas",AR,3,7,5,4090,C1,7,6197025,146158,432,171,34559107,-92514038,432,432,335,335,0,97,77.55,77.55,0,22.45,432,180.5503,2.449117,2.392685,0.05643192,432,210,222,48.61,51.39,36.8,36.5,37,421,0,3,1,0,0,97.45,0,0.69,0.23,0,0,198,14406,198
504180,Bay city,"Bay city, Arkansas",AR,3,7,5,4180,C1,10,8686836,0,1800,734,35745157,-90562777,1800,1800,1502,0,1502,298,83.44,0,83.44,16.56,1800,536.6716,3.354006,3.354006,0,1800,874,926,48.56,51.44,35.3,33.7,36.4,1717,53,3,0,0,14,95.39,2.94,0.17,0,0,0.78,758,12743,758
504420,Bearden city,"Bearden city, Arkansas",AR,3,7,5,4420,C1,9,2983148,0,1125,495,33725975,-92617465,1125,1125,0,0,0,1125,0,0,0,100,1125,976.7321,1.1518,1.1518,0,1125,551,574,48.98,51.02,35.7,34.1,37.4,732,365,2,1,0,12,65.07,32.44,0.18,0.09,0,1.07,429,12904,429
600562,Alameda city,"Alameda city, California",CA,4,9,6,562,C1,17,27960382,31522170,72259,31644,37763971,-122256810,72259,72259,72233,72233,0,26,99.96,99.96,0,0.04,72259,6693.397,22.96634,10.79556,12.17078,72259,34689,37570,48.01,51.99,38.3,37.1,39.5,41148,4488,484,18894,434,2380,56.95,6.21,0.67,26.15,0.6,3.29,37291,30982,37291
600618,Alamo CDP,"Alamo CDP, California",CA,4,9,6,618,U1,14,53285418,8421,15626,5497,37858988,-122032722,15626,15626,11501,11501,0,4125,73.6,73.6,0,26.4,15626,759.5165,20.57687,20.57361,0.003251366,15626,7755,7871,49.63,50.37,43,42.7,43.3,14119,74,34,935,18,100,90.36,0.47,0.22,5.98,0.12,0.64,6885,65705,6885
600674,Albany city,"Albany city, California",CA,4,9,6,674,C1,14,4406416,9748191,16444,7248,37891575,-122295923,16444,16444,16444,16444,0,0,100,100,0,0,16444,9665.397,5.465125,1.701327,3.763798,16444,7669,8775,46.64,53.36,36.3,34.8,37.7,10078,675,64,4126,22,521,61.29,4.1,0.39,25.09,0.13,3.17,8674,28494,8674
600884,Alhambra city,"Alhambra city, California",CA,4,9,6,884,C1,17,19741052,0,85804,30069,34081859,-118135052,85804,85804,85804,85804,0,0,100,100,0,0,85804,11257.32,7.622063,7.622063,0,85804,40418,45386,47.11,52.89,35,33.4,36.4,25758,1437,614,40520,86,13947,30.02,1.67,0.72,47.22,0.1,16.25,37421,17350,37421
