FIPS,Area Name-Legal/Statistical Area Description,Qualifying Name,State/U.S.-Abbreviation (USPS),Region,Division,State (FIPS),Place (FIPS),FIPS Place Class Code,Place Size Code,Area (Land),Area (Water),Population Count (100%),Housing Unit Count (100%),Internal Point (Latitude),Internal Point (Longitude),Total Population,Total Population,Urban,Urban: Inside urbanized areas,Urban: Inside urban clusters,Rural,% Urban,% Urban: Inside urbanized areas,% Urban: Inside urban clusters,% Rural,Total Population,Population Density (per sq. mile),Area Total,Area (Land),Area (Water),Total Population,Male,Female,% Male,% Female,Median Age,Median Age: Male Population,Median Age: Female Population,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some other race Alone,% White Alone,% Black or African American Alone,% American Indian and Alaska Native Alone,% Asian Alone,% Native Hawaiian and Other Pacific Islander Alone,% Some other race Alone,Employed Civilian Population 16 Years And Over,Per capita income In 1999 Dollars,Employed civilian population 16 years and over
Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_PLACE,Geo_PLACECC,Geo_PLACESC,Geo_AREALAND,Geo_AREAWATR,Geo_POP100,Geo_HU100,Geo_INTPTLAT,Geo_INTPTLON,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T002_004,SE_T002_005,PCT_SE_T002_002,PCT_SE_T002_003,PCT_SE_T002_004,PCT_SE_T002_005,SE_T003_002,SE_T003_001,SE_T004_001,SE_T004_002,SE_T004_003,SE_T005_001,SE_T005_002,SE_T005_003,PCT_SE_T005_002,PCT_SE_T005_003,SE_T013_001,SE_T013_002,SE_T013_003,SE_T014_002,SE_T014_003,SE_T014_004,SE_T014_005,SE_T014_006,SE_T014_007,PCT_SE_T014_002,PCT_SE_T014_003,PCT_SE_T014_004,PCT_SE_T014_005,PCT_SE_T014_006,PCT_SE_T014_007,SE_T085_001,SE_T145_001,SE_T209_001
1202850,Azalea Park CDP,"Azalea Park CDP, Florida",FL,3,5,12,2850,U1,14,8312587,80833,11073,4115,28541546,-81296372,11073,11073,11073,11073,0,0,100,100,0,0,11073,3450.062,3.240718,3.209508,0.0312098,11073,5459,5614,49.3,50.7,31.1,29.8,32.9,7777,747,55,399,8,1611,70.23,6.75,0.5,3.6,0.07,14.55,5205,14136,5205
1202900,Babson Park CDP,"Babson Park CDP, Florida",FL,3,5,12,2900,U1,9,3868161,0,1182,442,27830416,-81528250,1182,1182,0,0,0,1182,0,0,0,100,1182,791.4267,1.493505,1.493505,0,1182,603,579,51.02,48.98,29.7,27.9,31.3,921,200,0,17,0,34,77.92,16.92,0,1.44,0,2.88,391,11912,391
1202925,Bagdad CDP,"Bagdad CDP, Florida",FL,3,5,12,2925,U1,9,9115944,1860272,1490,659,30595790,-87035622,1490,1490,1312,1312,0,178,88.05,88.05,0,11.95,1490,423.3333,4.237941,3.519686,0.718255,1490,725,765,48.66,51.34,39.3,38.8,39.7,1192,203,18,6,1,7,80,13.62,1.21,0.4,0.07,0.47,556,15980,556
1308956,Bluffton town,"Bluffton town, Georgia",GA,3,5,13,8956,C1,4,4176715,0,118,60,31522201,-84866816,118,118,0,0,0,118,0,0,0,100,118,73.172,1.612639,1.612639,0,118,59,59,50,50,49.3,48.3,50.5,95,22,0,0,1,0,80.51,18.64,0,0,0.85,0,47,16550,47
1309040,Blythe city,"Blythe city, Georgia",GA,3,5,13,9040,C1,8,7332186,29276,718,262,33294858,-82200623,718,718,0,0,0,718,0,0,0,100,718,253.623,2.842277,2.830973,0.01130353,718,364,354,50.7,49.3,31.2,31.8,30.8,586,102,2,0,5,3,81.62,14.21,0.28,0,0.7,0.42,313,15190,313
1309068,Bogart town,"Bogart town, Georgia",GA,3,5,13,9068,C1,9,6152260,28549,1049,457,33948355,-83533880,1049,1049,805,805,0,244,76.74,76.74,0,23.26,1049,441.6096,2.386424,2.375401,0.01102283,1049,504,545,48.05,51.95,35.2,33.8,36.4,987,47,1,4,0,7,94.09,4.48,0.1,0.38,0,0.67,567,20081,567
1309272,Bonanza CDP,"Bonanza CDP, Georgia",GA,3,5,13,9272,U1,12,3144758,0,2904,976,33464663,-84337589,2904,2904,2904,2904,0,0,100,100,0,0,2904,2391.702,1.214198,1.214198,0,2904,1405,1499,48.38,51.62,30.5,29.2,32.1,1822,889,7,46,1,105,62.74,30.61,0.24,1.58,0.03,3.62,1406,15575,1406
1309460,Boston city,"Boston city, Georgia",GA,3,5,13,9460,C1,9,5771993,0,1417,632,30792556,-83790681,1417,1417,0,0,0,1417,0,0,0,100,1417,635.8312,2.228579,2.228579,0,1417,646,771,45.59,54.41,35.1,32.4,36.4,436,958,1,0,0,4,30.77,67.61,0.07,0,0,0.28,457,9622,457
1309488,Bostwick town,"Bostwick town, Georgia",GA,3,5,13,9488,C1,7,7975798,36100,322,135,33737220,-83514957,322,322,0,0,0,322,0,0,0,100,322,104.5633,3.093411,3.079473,0.01393829,322,153,169,47.52,52.48,37.7,37.6,37.8,262,60,0,0,0,0,81.37,18.63,0,0,0,0,177,19005,177
1309544,Bowdon city,"Bowdon city, Georgia",GA,3,5,13,9544,C1,10,8800853,0,1959,893,33539388,-85255851,1959,1959,0,0,0,1959,0,0,0,100,1959,576.5107,3.398028,3.398028,0,1959,914,1045,46.66,53.34,34.6,32.2,36.9,1408,493,6,2,0,24,71.87,25.17,0.31,0.1,0,1.23,863,14968,863
1309656,Bowersville town,"Bowersville town, Georgia",GA,3,5,13,9656,C1,7,8003922,14554,334,156,34371995,-83082392,334,334,0,0,0,334,0,0,0,100,334,108.079,3.095951,3.090332,0.005619331,334,153,181,45.81,54.19,34.3,34.2,34.4,285,43,1,0,0,0,85.33,12.87,0.3,0,0,0,143,13645,143
1309712,Bowman city,"Bowman city, Georgia",GA,3,5,13,9712,C1,8,6644389,0,898,411,34204231,-83026989,898,898,0,0,0,898,0,0,0,100,898,350.0411,2.565413,2.565413,0,898,422,476,46.99,53.01,37.5,35.6,39.2,665,218,0,0,0,6,74.05,24.28,0,0,0,0.67,374,14584,374
1507485,Ewa Villages CDP,"Ewa Villages CDP, Hawaii",HI,4,9,15,7485,U1,12,2537753,0,4741,1274,21342155,-158041679,4741,4741,4741,4741,0,0,100,100,0,0,4741,4838.585,0.9798319,0.9798319,0,4741,2394,2347,50.5,49.5,33.3,32.2,34.6,166,14,5,3339,220,36,3.5,0.3,0.11,70.43,4.64,0.76,1841,12883,1841
1507542,Fern Acres CDP,"Fern Acres CDP, Hawaii",HI,4,9,15,7542,U1,8,16230258,0,756,319,19511846,-155089878,756,756,0,0,0,756,0,0,0,100,756,120.6408,6.266538,6.266538,0,756,393,363,51.98,48.02,35.9,32.4,38.2,317,3,6,81,97,12,41.93,0.4,0.79,10.71,12.83,1.59,331,11876,331
1507675,Fern Forest CDP,"Fern Forest CDP, Hawaii",HI,4,9,15,7675,U1,7,32459931,0,480,289,19472132,-155130135,480,480,0,0,0,480,0,0,0,100,480,38.29935,12.53285,12.53285,0,480,258,222,53.75,46.25,41.4,42.1,40.8,265,1,5,34,31,11,55.21,0.21,1.04,7.08,6.46,2.29,185,14958,185
1509260,Haiku-Pauwela CDP,"Haiku-Pauwela CDP, Hawaii",HI,4,9,15,9260,U2,13,40807327,5816618,6578,2454,20920528,-156312631,6578,6578,5388,0,5388,1190,81.91,0,81.91,18.09,6578,417.4971,18.00161,15.7558,2.245809,6578,3361,3217,51.09,48.91,36.1,36.3,35.9,3697,34,35,667,461,64,56.2,0.52,0.53,10.14,7.01,0.97,3155,21702,3155
1509700,Halaula CDP,"Halaula CDP, Hawaii",HI,4,9,15,9700,U1,7,6925202,803166,495,158,20232466,-155782948,495,495,0,0,0,495,0,0,0,100,495,185.1273,2.98394,2.673836,0.3101041,495,243,252,49.09,50.91,35.3,33.5,36,89,0,1,165,52,5,17.98,0,0.2,33.33,10.51,1.01,205,13882,205
1510000,Halawa CDP,"Halawa CDP, Hawaii",HI,4,9,15,10000,U1,14,6021800,0,13891,4289,21377633,-157922759,13891,13891,13874,13874,0,17,99.88,99.88,0,0.12,13891,5974.546,2.32503,2.32503,0,13891,6905,6986,49.71,50.29,37.4,35.8,38.8,2153,254,28,7070,1449,116,15.5,1.83,0.2,50.9,10.43,0.84,6202,21868,6202
1510750,Haleiwa CDP,"Haleiwa CDP, Hawaii",HI,4,9,15,10750,U1,11,4731083,1830526,2225,867,21590050,-158113928,2225,2225,2225,0,2225,0,100,0,100,0,2225,1218.056,2.533452,1.826681,0.7067701,2225,1132,1093,50.88,49.12,36.5,35.1,37.7,548,11,7,642,222,18,24.63,0.49,0.31,28.85,9.98,0.81,943,16504,943
1510900,Haliimaile CDP,"Haliimaile CDP, Hawaii",HI,4,9,15,10900,U1,8,4340582,70320,895,260,20875211,-156342340,895,895,884,0,884,11,98.77,0,98.77,1.23,895,534.0388,1.703059,1.675908,0.02715071,895,459,436,51.28,48.72,35.9,31.6,39,149,0,5,366,146,2,16.65,0,0.56,40.89,16.31,0.22,445,16638,445
1511350,Hana CDP,"Hana CDP, Hawaii",HI,4,9,15,11350,U1,8,5632428,3388143,709,253,20770017,-155994179,709,709,0,0,0,709,0,0,0,100,709,326.0231,3.482862,2.174693,1.308169,709,334,375,47.11,52.89,30.7,31.4,30.1,94,1,0,49,283,2,13.26,0.14,0,6.91,39.92,0.28,320,14672,320
1511500,Hanalei CDP,"Hanalei CDP, Hawaii",HI,4,9,15,11500,U1,7,1680591,440663,478,303,22206653,-159500713,478,478,0,0,0,478,0,0,0,100,478,736.6541,0.8190208,0.6488798,0.1701409,478,238,240,49.79,50.21,40.2,41.3,37.5,273,0,0,88,14,2,57.11,0,0,18.41,2.93,0.42,229,21241,229
1630340,Georgetown city,"Georgetown city, Idaho",ID,4,8,16,30340,C1,8,1738262,0,538,200,42477690,-111365813,538,538,0,0,0,538,0,0,0,100,538,801.6131,0.6711468,0.6711468,0,538,257,281,47.77,52.23,31.9,35.2,29.6,526,1,6,0,1,2,97.77,0.19,1.12,0,0.19,0.37,194,12673,194
1631690,Glenns Ferry city,"Glenns Ferry city, Idaho",ID,4,8,16,31690,C1,10,4534214,0,1611,707,42951954,-115301132,1611,1611,0,0,0,1611,0,0,0,100,1611,920.2192,1.75067,1.75067,0,1611,818,793,50.78,49.22,36.1,32.8,37.8,1376,0,19,5,0,157,85.41,0,1.18,0.31,0,9.75,641,12869,641
1632140,Gooding city,"Gooding city, Idaho",ID,4,8,16,32140,C1,12,3561391,0,3384,1397,42937097,-114713480,3384,3384,3378,0,3378,6,99.82,0,99.82,0.18,3384,2460.982,1.375061,1.375061,0,3384,1682,1702,49.7,50.3,37,33.8,40.1,3029,5,54,7,0,202,89.51,0.15,1.6,0.21,0,5.97,1401,13752,1401
1632500,Grace city,"Grace city, Idaho",ID,4,8,16,32500,C1,8,2557079,0,990,389,42576245,-111729599,990,990,0,0,0,990,0,0,0,100,990,1002.741,0.9872938,0.9872938,0,990,503,487,50.81,49.19,36.5,32.2,38.8,946,0,2,0,0,33,95.56,0,0.2,0,0,3.33,395,13452,395
1632770,Grand View city,"Grand View city, Idaho",ID,4,8,16,32770,C1,7,1420972,61057,470,228,42984803,-116093277,470,470,0,0,0,470,0,0,0,100,470,856.6631,0.5722146,0.5486404,0.02357424,470,230,240,48.94,51.06,33.7,32.3,34.3,436,0,9,0,0,19,92.77,0,1.91,0,0,4.04,184,11402,184
1632950,Grangeville city,"Grangeville city, Idaho",ID,4,8,16,32950,C1,12,3533005,0,3228,1474,45926449,-116121464,3228,3228,3212,0,3212,16,99.5,0,99.5,0.5,3228,2366.394,1.364101,1.364101,0,3228,1508,1720,46.72,53.28,41.6,39.3,43.6,3110,1,37,9,1,22,96.34,0.03,1.15,0.28,0.03,0.68,1296,14774,1296
1633490,Greenleaf city,"Greenleaf city, Idaho",ID,4,8,16,33490,C1,8,1876021,0,862,284,43671142,-116816480,862,862,0,0,0,862,0,0,0,100,862,1190.056,0.7243358,0.7243358,0,862,418,444,48.49,51.51,30.9,28.4,33,643,4,7,7,2,193,74.59,0.46,0.81,0.81,0.23,22.39,377,15406,377
1702342,Arrowsmith village,"Arrowsmith village, Illinois",IL,2,3,17,2342,C1,6,527039,0,298,117,40448897,-88631541,298,298,0,0,0,298,0,0,0,100,298,1464.439,0.2034909,0.2034909,0,298,139,159,46.64,53.36,34,34.3,32.8,295,0,1,0,0,0,98.99,0,0.34,0,0,0,172,17261,172
1702414,Arthur village,"Arthur village, Illinois",IL,2,3,17,2414,C1,11,3304396,0,2203,951,39715323,-88470071,2203,2203,0,0,0,2203,0,0,0,100,2203,1726.713,1.275834,1.275834,0,2203,1021,1182,46.35,53.65,40.6,37.4,44.2,2195,1,4,1,0,0,99.64,0.05,0.18,0.05,0,0,1143,19683,1143
1702479,Ashkum village,"Ashkum village, Illinois",IL,2,3,17,2479,C1,8,2123088,0,724,321,40881356,-87952172,724,724,0,0,0,724,0,0,0,100,724,883.2188,0.8197289,0.8197289,0,724,357,367,49.31,50.69,38.8,37.1,40.9,716,0,0,0,0,5,98.9,0,0,0,0,0.69,345,20806,345
1702505,Ashland village,"Ashland village, Illinois",IL,2,3,17,2505,C1,9,1923749,0,1361,581,39887929,-90008759,1361,1361,0,0,0,1361,0,0,0,100,1361,1832.346,0.7427637,0.7427637,0,1361,665,696,48.86,51.14,37.1,36.4,37.7,1342,2,3,2,0,1,98.6,0.15,0.22,0.15,0,0.07,699,20090,699
1702531,Ashley city,"Ashley city, Illinois",IL,2,3,17,2531,C1,8,2867744,56515,613,274,38328332,-89188860,613,613,0,0,0,613,0,0,0,100,613,553.6277,1.129063,1.107242,0.02182056,613,298,315,48.61,51.39,36.5,34.9,38.3,602,1,5,0,0,3,98.21,0.16,0.82,0,0,0.49,251,14694,251
1702557,Ashmore village,"Ashmore village, Illinois",IL,2,3,17,2557,C1,8,2159217,0,809,329,39530186,-88021851,809,809,0,0,0,809,0,0,0,100,809,970.3982,0.8336784,0.8336784,0,809,395,414,48.83,51.17,33.9,32.9,34.5,788,3,2,10,0,2,97.4,0.37,0.25,1.24,0,0.25,397,14886,397
1702583,Ashton village,"Ashton village, Illinois",IL,2,3,17,2583,C1,9,1712026,0,1142,468,41866545,-89221923,1142,1142,0,0,0,1142,0,0,0,100,1142,1727.641,0.6610169,0.6610169,0,1142,543,599,47.55,52.45,36.1,34.5,37.4,1119,12,1,0,0,4,97.99,1.05,0.09,0,0,0.35,547,21200,547
1702609,Assumption city,"Assumption city, Illinois",IL,2,3,17,2609,C1,9,2278902,0,1261,607,39519545,-89049129,1261,1261,0,0,0,1261,0,0,0,100,1261,1433.135,0.879889,0.879889,0,1261,571,690,45.28,54.72,38.5,37.8,39.1,1259,0,0,1,0,0,99.84,0,0,0.08,0,0,577,16421,577
1805860,Bloomington city,"Bloomington city, Indiana",IN,2,3,18,5860,C1,17,51112921,514623,69291,28400,39162147,-86529045,69291,69291,68985,68985,0,306,99.56,99.56,0,0.44,69291,3511.105,19.93351,19.73481,0.1986971,69291,33650,35641,48.56,51.44,23.3,23.5,23,60301,2940,199,3644,49,763,87.03,4.24,0.29,5.26,0.07,1.1,34523,16481,34523
1805896,Blountsville town,"Blountsville town, Indiana",IN,2,3,18,5896,C1,4,313151,0,166,61,40059611,-85238840,166,166,0,0,0,166,0,0,0,100,166,1372.942,0.1209083,0.1209083,0,166,81,85,48.8,51.2,37,39.5,35.8,166,0,0,0,0,0,100,0,0,0,0,0,61,11382,61
1806220,Bluffton city,"Bluffton city, Indiana",IN,2,3,18,6220,C1,13,17118833,17174,9536,4197,40737991,-85172223,9536,9536,9342,0,9342,194,97.97,0,97.97,2.03,9536,1442.746,6.616249,6.609618,0.006630919,9536,4520,5016,47.4,52.6,36.9,34,39.5,9312,32,21,23,7,75,97.65,0.34,0.22,0.24,0.07,0.79,4836,19118,4836
1806616,Boonville city,"Boonville city, Indiana",IN,2,3,18,6616,C1,13,7632822,47551,6834,2910,38046231,-87272544,6834,6834,6529,0,6529,305,95.54,0,95.54,4.46,6834,2318.93,2.965409,2.947049,0.01835954,6834,3250,3584,47.56,52.44,36.7,34.2,39.4,6732,44,14,8,1,2,98.51,0.64,0.2,0.12,0.01,0.03,3090,15869,3090
1806634,Borden town,"Borden town, Indiana",IN,2,3,18,6634,C1,8,2876955,0,818,355,38470665,-85947025,818,818,0,0,0,818,0,0,0,100,818,736.4071,1.110799,1.110799,0,818,411,407,50.24,49.76,32.6,30.7,35.2,805,0,5,4,0,0,98.41,0,0.61,0.49,0,0,456,17417,456
1806652,Boston town,"Boston town, Indiana",IN,2,3,18,6652,C1,4,546744,0,177,70,39741571,-84851098,177,177,0,0,0,177,0,0,0,100,177,838.469,0.211099,0.211099,0,177,88,89,49.72,50.28,34.8,34,35.3,176,0,0,0,0,0,99.44,0,0,0,0,0,115,19852,115
1806706,Boswell town,"Boswell town, Indiana",IN,2,3,18,6706,C1,8,1228662,0,827,361,40518442,-87381412,827,827,0,0,0,827,0,0,0,100,827,1743.295,0.4743891,0.4743891,0,827,380,447,45.95,54.05,36.1,34.2,37.6,762,2,2,2,0,40,92.14,0.24,0.24,0.24,0,4.84,368,14401,368
1904780,Bassett city,"Bassett city, Iowa",IA,2,4,19,4780,C1,3,954489,0,74,34,43062355,-92515907,74,74,0,0,0,74,0,0,0,100,74,200.7976,0.3685303,0.3685303,0,74,37,37,50,50,41.5,46.5,38.5,74,0,0,0,0,0,100,0,0,0,0,0,33,13131,33
1904825,Batavia city,"Batavia city, Iowa",IA,2,4,19,4825,C1,8,1533248,0,500,234,40997604,-92167752,500,500,0,0,0,500,0,0,0,100,500,844.6083,0.5919904,0.5919904,0,500,245,255,49,51,40.7,39.5,41.2,493,0,2,1,0,1,98.6,0,0.4,0.2,0,0.2,263,18970,263
1904870,Battle Creek city,"Battle Creek city, Iowa",IA,2,4,19,4870,C1,8,1291054,0,743,358,42316842,-95599583,743,743,0,0,0,743,0,0,0,100,743,1490.535,0.4984788,0.4984788,0,743,347,396,46.7,53.3,48.8,45.8,52.6,738,0,0,1,0,1,99.33,0,0,0.13,0,0.13,345,16106,345
1904915,Baxter city,"Baxter city, Iowa",IA,2,4,19,4915,C1,9,1695292,0,1052,455,41824492,-93150857,1052,1052,0,0,0,1052,0,0,0,100,1052,1607.197,0.6545559,0.6545559,0,1052,503,549,47.81,52.19,38.5,35.3,40.2,1040,8,1,2,0,0,98.86,0.76,0.1,0.19,0,0,505,17749,505
1904960,Bayard city,"Bayard city, Iowa",IA,2,4,19,4960,C1,8,1234059,0,536,244,41852198,-94557261,536,536,0,0,0,536,0,0,0,100,536,1124.933,0.4764729,0.4764729,0,536,256,280,47.76,52.24,44.2,39.7,48.4,531,0,1,1,0,0,99.07,0,0.19,0.19,0,0,212,13073,212
1905050,Beacon city,"Beacon city, Iowa",IA,2,4,19,5050,C1,8,2607656,0,518,217,41275948,-92680733,518,518,484,0,484,34,93.44,0,93.44,6.56,518,514.4903,1.006822,1.006822,0,518,271,247,52.32,47.68,35.2,33.7,36.2,500,2,3,0,0,0,96.53,0.39,0.58,0,0,0,274,16972,274
1905095,Beaconsfield city,"Beaconsfield city, Iowa",IA,2,4,19,5095,C1,2,1868989,0,11,13,40807958,-94050634,11,11,0,0,0,11,0,0,0,100,11,15.24346,0.7216207,0.7216207,0,11,4,7,36.36,63.64,70.5,70,72.5,11,0,0,0,0,0,100,0,0,0,0,0,3,5990,3
1905140,Beaman city,"Beaman city, Iowa",IA,2,4,19,5140,C1,5,477940,20306,210,88,42219997,-92822985,210,210,0,0,0,210,0,0,0,100,210,1138.004,0.1923739,0.1845337,0.007840191,210,107,103,50.95,49.05,36,35.5,36.2,209,0,1,0,0,0,99.52,0,0.48,0,0,0,107,18960,107
1905185,Beaver city,"Beaver city, Iowa",IA,2,4,19,5185,C1,3,663263,0,53,26,42037808,-94141096,53,53,0,0,0,53,0,0,0,100,53,206.9607,0.2560873,0.2560873,0,53,22,31,41.51,58.49,43.3,41.5,43.5,50,0,1,1,0,0,94.34,0,1.89,1.89,0,0,28,13020,28
1905365,Bedford city,"Bedford city, Iowa",IA,2,4,19,5365,C1,10,4165801,0,1620,769,40668317,-94721092,1620,1620,0,0,0,1620,0,0,0,100,1620,1007.197,1.608425,1.608425,0,1620,740,880,45.68,54.32,42.2,39.3,44.9,1590,1,4,2,0,12,98.15,0.06,0.25,0.12,0,0.74,687,14313,687
2013425,Claflin city,"Claflin city, Kansas",KS,2,4,20,13425,C1,8,861170,0,705,316,38524996,-98537128,705,705,0,0,0,705,0,0,0,100,705,2120.303,0.3324996,0.3324996,0,705,341,364,48.37,51.63,36.9,34.9,38.8,701,0,0,0,0,1,99.43,0,0,0,0,0.14,275,14819,275
2013625,Clay Center city,"Clay Center city, Kansas",KS,2,4,20,13625,C5,12,6707280,352,4564,2191,39379920,-97123168,4564,4564,4522,0,4522,42,99.08,0,99.08,0.92,4564,1762.369,2.589831,2.589695,0.000135908,4564,2212,2352,48.47,51.53,43.2,39.6,46.3,4472,29,15,9,0,3,97.98,0.64,0.33,0.2,0,0.07,2116,19128,2116
2013675,Clayton city,"Clayton city, Kansas",KS,2,4,20,13675,C1,3,1101902,0,66,37,39737247,-100176818,66,66,0,0,0,66,0,0,0,100,66,155.131,0.4254467,0.4254467,0,66,36,30,54.55,45.45,44,43.5,44,65,0,0,0,0,0,98.48,0,0,0,0,0,33,13519,33
2013925,Clearwater city,"Clearwater city, Kansas",KS,2,4,20,13925,C1,11,2903737,0,2178,791,37505646,-97501516,2178,2178,0,0,0,2178,0,0,0,100,2178,1942.667,1.121139,1.121139,0,2178,1038,1140,47.66,52.34,35.3,33.8,36.5,2100,6,27,9,1,9,96.42,0.28,1.24,0.41,0.05,0.41,979,20286,979
2014200,Clifton city,"Clifton city, Kansas",KS,2,4,20,14200,C1,8,1046369,0,557,278,39567063,-97279982,557,557,0,0,0,557,0,0,0,100,557,1378.695,0.4040053,0.4040053,0,557,258,299,46.32,53.68,38.9,37,43.6,550,0,3,0,0,0,98.74,0,0.54,0,0,0,270,13962,270
2014275,Climax city,"Climax city, Kansas",KS,2,4,20,14275,C1,3,325434,0,64,29,37720155,-96223888,64,64,0,0,0,64,0,0,0,100,64,509.3482,0.1256508,0.1256508,0,64,34,30,53.12,46.88,35.5,36.5,34.5,55,0,0,0,0,8,85.94,0,0,0,0,12.5,24,14461,24
2014475,Clyde city,"Clyde city, Kansas",KS,2,4,20,14475,C1,8,1740209,0,740,377,39591694,-97397833,740,740,0,0,0,740,0,0,0,100,740,1101.357,0.6718985,0.6718985,0,740,342,398,46.22,53.78,45.1,41,50.5,738,0,2,0,0,0,99.73,0,0.27,0,0,0,326,17852,326
2014525,Coats city,"Coats city, Kansas",KS,2,4,20,14525,C1,4,530305,0,112,69,37511148,-98825388,112,112,0,0,0,112,0,0,0,100,112,547.0034,0.2047519,0.2047519,0,112,55,57,49.11,50.89,43.5,39.3,45.8,107,0,1,0,0,1,95.54,0,0.89,0,0,0.89,46,12985,46
2014600,Coffeyville city,"Coffeyville city, Kansas",KS,2,4,20,14600,C5,14,18273486,0,11021,5550,37037708,-95626438,11021,11021,10716,0,10716,305,97.23,0,97.23,2.77,11021,1562.059,7.055433,7.055433,0,11021,5133,5888,46.57,53.43,39.2,35.8,42.4,8350,1336,548,66,4,180,75.76,12.12,4.97,0.6,0.04,1.63,4617,15182,4617
2014650,Colby city,"Colby city, Kansas",KS,2,4,20,14650,C5,13,8644826,0,5450,2405,39392093,-101047532,5450,5450,5443,0,5443,7,99.87,0,99.87,0.13,5450,1632.819,3.337786,3.337786,0,5450,2565,2885,47.06,52.94,34.1,32.4,35.4,5272,35,21,21,1,55,96.73,0.64,0.39,0.39,0.02,1.01,2620,18872,2620
2014700,Coldwater city,"Coldwater city, Kansas",KS,2,4,20,14700,C1,8,6808019,871689,792,460,37269553,-99326061,792,792,0,0,0,792,0,0,0,100,792,301.3021,2.965152,2.628591,0.336561,792,354,438,44.7,55.3,50.2,47.8,52.1,777,1,5,0,1,1,98.11,0.13,0.63,0,0.13,0.13,354,16851,354
2112142,Campbellsburg city,"Campbellsburg city, Kentucky",KY,3,6,21,12142,C1,8,1465065,28851,705,298,38523111,-85204391,705,705,0,0,0,705,0,0,0,100,705,1246.321,0.5768042,0.5656648,0.01113943,705,323,382,45.82,54.18,35.6,31.8,39.7,668,27,0,6,0,3,94.75,3.83,0,0.85,0,0.43,289,15755,289
2112160,Campbellsville city,"Campbellsville city, Kentucky",KY,3,6,21,12160,C1,14,15440649,249102,10498,4876,37345951,-85345444,10498,10498,10462,0,10462,36,99.66,0,99.66,0.34,10498,1760.917,6.057847,5.961668,0.09617882,10498,4774,5724,45.48,54.52,37.9,34.8,40.4,9355,918,15,31,4,64,89.11,8.74,0.14,0.3,0.04,0.61,4189,15996,4189
2112358,Campton city,"Campton city, Kentucky",KY,3,6,21,12358,C1,7,2791448,102322,424,229,37734689,-83548427,424,424,0,0,0,424,0,0,0,100,424,393.3997,1.117291,1.077784,0.03950675,424,199,225,46.93,53.07,37.6,32.9,41.7,423,0,0,0,0,0,99.76,0,0,0,0,0,135,11167,135
2112538,Caneyville city,"Caneyville city, Kentucky",KY,3,6,21,12538,C1,8,4219877,0,627,321,37426527,-86489151,627,627,0,0,0,627,0,0,0,100,627,384.827,1.629304,1.629304,0,627,283,344,45.14,54.86,35.7,34.9,38.1,624,1,1,0,0,0,99.52,0.16,0.16,0,0,0,219,12820,219
2112898,Carlisle city,"Carlisle city, Kentucky",KY,3,6,21,12898,C1,10,3310744,0,1917,982,38315870,-84031813,1917,1917,0,0,0,1917,0,0,0,100,1917,1499.665,1.278286,1.278286,0,1917,863,1054,45.02,54.98,43.2,40.3,45.8,1869,42,0,2,0,2,97.5,2.19,0,0.1,0,0.1,869,17485,869
2113024,Carrollton city,"Carrollton city, Kentucky",KY,3,6,21,13024,C1,12,5806783,35754,3846,1709,38677329,-85171504,3846,3846,3696,0,3696,150,96.1,0,96.1,3.9,3846,1715.424,2.255816,2.242012,0.0138047,3846,1878,1968,48.83,51.17,37.7,33.7,41.6,3615,86,5,7,0,78,93.99,2.24,0.13,0.18,0,2.03,1587,14376,1587
2113060,Carrsville city,"Carrsville city, Kentucky",KY,3,6,21,13060,C1,3,450859,0,64,51,37398063,-88375113,64,64,0,0,0,64,0,0,0,100,64,367.652,0.1740776,0.1740776,0,64,38,26,59.38,40.62,48,46.5,52,62,0,0,0,0,0,96.88,0,0,0,0,0,20,15289,20
2113420,Catlettsburg city,"Catlettsburg city, Kentucky",KY,3,6,21,13420,C1,10,3320605,954952,1960,959,38416273,-82602762,1960,1960,1958,1958,0,2,99.9,99.9,0,0.1,1960,1528.75,1.650802,1.282093,0.3687091,1960,954,1006,48.67,51.33,38.5,35.6,41.8,1924,22,4,0,0,1,98.16,1.12,0.2,0,0,0.05,732,13682,732
2113492,Cave City city,"Cave City city, Kentucky",KY,3,6,21,13492,C1,10,11189220,0,1880,914,37137130,-85956958,1880,1880,1471,0,1471,409,78.24,0,78.24,21.76,1880,435.1668,4.320182,4.320182,0,1880,890,990,47.34,52.66,41.3,39.4,42.7,1706,134,3,21,1,1,90.74,7.13,0.16,1.12,0.05,0.05,706,15346,706
2215990,Clinton town,"Clinton town, Louisiana",LA,3,7,22,15990,C1,10,7098941,44933,1998,771,30863050,-91015789,1998,1998,0,0,0,1998,0,0,0,100,1998,728.9532,2.758265,2.740916,0.01734873,1998,979,1019,49,51,33.7,31.7,35.9,814,1164,1,3,0,2,40.74,58.26,0.05,0.15,0,0.1,659,13353,659
